classUserId,userId,classId,status,isDeleted;
1,2,1,1,false;
2,2,3,1,true;
3,2,6,1,false;
4,2,11,1,false;
5,3,1,1,false;
6,3,3,1,false;
7,3,5,1,false;
8,3,7,1,false;
9,3,9,1,false;
10,4,1,1,false;
11,4,3,1,false;
12,4,5,1,false;
13,4,13,1,false;
14,5,1,1,false;
15,5,4,1,false;
16,5,8,1,false;
17,5,14,1,false;
18,6,2,1,false;
19,6,4,1,false;
20,6,10,1,false;
21,6,11,1,false;
22,7,1,1,false;
23,7,4,1,false;
24,7,5,1,false;
25,7,7,1,false;
26,8,1,1,false;
27,8,3,1,false;
28,8,5,1,false;
29,8,7,1,false;
30,9,1,1,false;
31,9,3,1,false;
32,9,5,1,false;
33,9,7,1,false;
34,10,1,1,false;
35,10,3,1,false;
36,10,5,1,false;
37,10,13,1,false;
38,10,9,1,false;
39,11,1,1,false;
40,11,3,1,false;
41,11,5,1,false;
42,11,13,1,false;
43,12,1,1,false;
44,12,4,1,false;
45,12,5,1,false;
46,12,13,1,false;
47,12,11,1,false;
48,12,7,1,false;
49,13,1,2,false;
50,13,3,1,false;
51,13,5,1,false;
52,13,7,1,false;
53,13,13,1,false;
54,14,2,1,false;
55,14,4,1,false;
56,14,5,1,false;
57,14,8,1,false;
58,14,13,1,false;
59,15,2,1,false;
60,15,4,1,false;
61,15,6,1,false;
62,15,11,1,false;
63,15,13,1,false;
64,16,2,1,false;
65,16,4,1,false;
66,16,6,1,false;
67,16,13,1,false;
68,16,8,1,false;
69,16,9,1,false;
70,3,13,1,false;
71,4,10,1,false;
72,5,9,1,false;
73,6,13,1,false;
74,7,13,2,false;
75,9,9,1,false;
76,9,13,2,false;
77,6,5,2,false;
78,2,3,1,false;
